MultSize,Base,LUTs,FFs,DSPs,MaxClkFreqTillNow,Delay
160,77,3609,7450,76,783,28
163,prim,3461,6112,61,830,35
172,43,5141,9202,45,862,30
256,43,NAN,NAN,NAN,NAN,44
256,77,8473,17718,114,801,39
258,43,10747,20219,90,792,36
512,43,NAN,NAN,NAN,NAN,74
512,77,NAN,NAN,NAN,NAN,74
516,43,38131,68870,270,629,60
1024,77,123479,207794,1220,484,123
1032,43,128282,221612,810,458,100
